,TYPE,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
0,PE,43800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43800.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3375,4250,750,1572.05,750,1737.5,42132.55
0,CE,43900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,20000,2325,900,3.35,1000,28.45,42132.55
0,PE,43900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1250,2125,750,1563.25,750,1869.2,42132.55
0,CE,44000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE44000.00,41829,38944,1349.8786828422876,145732,14.18,5.2,1.35,35.064935064935064,314700,21700,83825,5.2,50,5.3,42132.55
0,PE,44000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE44000.00,123,43,53.75,224,23.46,1850.15,-709.8499999999999,-27.728515624999993,4600,2675,750,1783.1,100,1850.15,42132.55
0,CE,44100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE44100.00,1329,1329,0.0,3680,13.9,3.05,-81.25,-96.38196915776987,36025,5450,50,3.25,175,3.8,42132.55
0,PE,44100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE44100.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3725,4075,750,1857.35,750,2042.35,42132.55
0,CE,44500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE44500.00,5313,4101,338.36633663366337,55895,16.33,3.35,-0.10000000000000009,-2.898550724637684,228275,19600,175,3.2,2425,3.25,42132.55
0,PE,44500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE44500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3475,3975,750,2249.75,750,2427.5,42132.55
0,CE,45000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE45000.00,4489,3051,212.16968011126565,30420,18.92,2.6,-0.7999999999999998,-23.529411764705877,281175,10250,2200,2.7,525,2.75,42132.55
0,PE,45000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE45000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2550,2725,750,2751.3,450,2928.85,42132.55
0,CE,45500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE45500.00,2517,1924,324.45193929173695,14757,21.33,2.1,-1.4499999999999997,-40.84507042253521,173700,12975,800,2.2,2200,2.3,42132.55
